instruction,output
How do I reset my password?,To reset your password: 1. Go to the login page 2. Click 'Forgot Password' 3. Enter your email address 4. Check your inbox for the reset link 5. Follow the link and create a new password
What are your business hours?,Our customer support is available Monday through Friday from 9:00 AM to 6:00 PM CET. For urgent issues outside these hours please email emergency@example.com
How can I contact sales?,You can reach our sales team by email at sales@example.com or call +39 055 1234567 during business hours (Monday-Friday 9:00-18:00 CET)
Where is your office located?,Our headquarters is located in Florence Italy at Via Roma 123. We also have offices in Milan and Rome
Do you offer refunds?,Yes we offer a 30-day money-back guarantee on all products. To request a refund please contact support@example.com with your order number
How long does shipping take?,Standard shipping within Italy takes 2-3 business days. Express shipping is available for next-day delivery in major cities. International shipping typically takes 5-7 business days
What payment methods do you accept?,We accept all major credit cards (Visa Mastercard American Express) PayPal bank transfers and Apple Pay
How do I track my order?,Once your order ships you'll receive an email with a tracking number. You can use this number on our website's tracking page or on the courier's website to see your delivery status
Can I modify my order after placing it?,Yes you can modify your order within 2 hours of placing it. Please contact support@example.com immediately with your order number and the changes you'd like to make
What is your return policy?,Items can be returned within 30 days of delivery in their original condition with tags attached. Return shipping is free for defective items. For other returns the customer is responsible for return shipping costs
How do I create an account?,To create an account click the 'Sign Up' button in the top right corner. Fill in your email address and choose a password. You'll receive a confirmation email to verify your account
What if I forgot my username?,If you forgot your username click 'Forgot Username' on the login page. Enter the email address associated with your account and we'll send your username to that email
Is my payment information secure?,Yes we use industry-standard SSL encryption to protect all payment information. We never store your full credit card number on our servers. All transactions are processed through secure payment gateways
Can I change my shipping address?,You can change your shipping address within 1 hour of placing your order. After that the order enters our fulfillment system and the address cannot be changed. Contact support immediately if you need to make changes
Do you ship internationally?,Yes we ship to most countries worldwide. International shipping costs and delivery times vary by destination. You can see the exact cost and estimated delivery time at checkout
